"se_history_id";"se_history_rootid";"se_history_previd";"se_history_nextid";"se_history_ins_batchid";"se_history_mut_batchid";"se_history_sourcekey";"se_history_sourcechecksum";"se_history_validfrom";"se_history_validto";"aanlegdatum";"ander_net";"bovenliggend_asset_collectie";"bovenliggend_asset_id";"change_id";"change_state";"eigenaar";"e_ls_ov_kabelsubgroep_id";"gebruik";"gemerkt";"gis_e_ls_kabel_type_id";"groep_nummer";"groep_volgnummer";"id";"lengte";"ligging_kaart";"master_asset_id";"opmerkingen";"opvoerdatum";"opvoergebruiker";"rwo_id";"sdl_metahistoryrootid";"status";"status_verkort";"stg_metahistoryrootid";"sdl_metahistoryid";"stg_metahistoryid"
2802148;344917;344917;;3;;"1322967";e147502a476f30c0635ea53b3ebb5424;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;;(AA);;;0;Active;Enexis;0;Overig;;3757828807537459317;;;1427609075780591461;215.81615068899112;MULTILINESTRING ((211133.478 373021.158, 211144.388 373000, 211147.59100000001 372994.48, 211149.702 372990.841, 211152.62900000002 372985.12200000003, 211152.89500000002 372984.641, 211155.13 372980.609, 211158.733 372974.344, 211161.578 372969.396, 211164.47400000002 372964.106, 211174.446 372945.886, 211174.487 372945.824, 211174.605 372945.67600000004, 211174.61000000002 372945.67, 211174.74300000002 372945.55100000004, 211174.89500000002 372945.457, 211174.915 372945.447, 211175.09900000002 372945.376, 211175.117 372945.371, 211175.278 372945.34, 211175.29200000002 372945.338, 211175.432 372945.33400000003, 211175.574 372945.348, 211175.71600000001 372945.37200000003, 211176.073 372945.43700000003, 211181.05000000002 372946.34, 211181.342 372946.36, 211181.378 372946.358, 211181.598 372946.319, 211181.615 372946.313, 211181.79200000002 372946.234, 211181.798 372946.231, 211181.948 372946.123, 211181.968 372946.106, 211182.063 372946.00800000003, 211182.142 372945.89400000003, 211182.461 372945.333, 211183.48 372943.514, 211188.30000000002 372934.913, 211189.288 372933.148, 211189.448 372932.841, 211189.456 372932.82300000003, 211189.566 372932.531, 211189.5885 372932.38325, 211189.574 372932.234, 211189.479 372931.943, 211189.44700000001 372931.87, 211189.35475 372931.71625, 211189.22400000002 372931.593, 211188.913 372931.392, 211187.388 372930.538, 211185 372929.231, 211184.71 372929.037, 211184.668 372929.004, 211184.502 372928.822, 211184.391 372928.599, 211184.383 372928.575, 211184.336 372928.353, 211184.33625 372928.23875, 211184.35700000002 372928.126, 211184.46925000002 372927.795, 211184.62 372927.48, 211184.673 372927.385, 211193.678 372911.109, 211201.949 372896.309, 211211.247 372879.314, 211220.75100000002 372862.869, 211233.08800000002 372841.518));8410456966804732764;;2014-02-05 00:00:00.000;wvulpen;{0, 0, 0};1322967;In bedrijf;;1093971;3293342;1093971
2802149;344918;344918;;3;;"1322968";"45effddcd5013fa52dbc8b0cb9cf76d4";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;;(AA);;;0;Active;Enexis;0;Overig;;3757828807537459317;;;1427609075780591472;9.612444018042446;MULTILINESTRING ((211179.719 373241.332, 211184.041 373232.746));8410456966804732773;;2014-02-05 00:00:00.000;wvulpen;{0, 0, 0};1322968;In bedrijf;;1093986;3293343;1093986
2802150;1495242;1495242;;3;;"1322969";b7e684950bce985101464c191706a92a;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;;(AA);;;0;Active;Enexis;0;Overig;;3757828807537459317;;;1427609075780591489;232.98226338447552;MULTILINESTRING ((210245.671 372150.74, 210245.64875929532 372150.82468262233, 210245.634 372150.911), (210245.634 372150.911, 210245.62721148724 372151.08838184143, 210245.65187547074 372151.26417553605, 210245.70721448722 372151.43283967854, 210245.7914841288 372151.589057603, 210245.90202803028 372151.72790497536, 210246.03536160395 372151.8450050202, 210246.18728188137 372151.9366664856, 210246.353 372152, 210253.999 372154.167, 210261.59900000002 372156.321, 210268.122 372158.169, 210273.502 372159.66000000003), (210273.502 372159.66000000003, 210273.909 372159.773, 210276.15 372160.39400000003), (210276.15 372160.39400000003, 210276.976 372160.623), (210276.976 372160.623, 210278.242 372160.973, 210282.85700000002 372162.249), (210282.85700000002 372162.249, 210377.113 372188.31, 210391.621 372192.366, 210398.313 372194.237), (210398.313 372194.237, 210403.39800000002 372195.658, 210406.067 372196.403), (210406.067 372196.403, 210407.174 372196.712), (210407.174 372196.712, 210420.872 372200.536), (210420.872 372200.536, 210433.56900000002 372204.081, 210457.386 372210.73, 210464.203 372212.63300000003, 210466.045 372213.147, 210469.259 372214.064));8410456966804732786;;2014-02-06 00:00:00.000;wvulpen;{0, 0, 0};1322969;In bedrijf;;1094000;3293344;1094000
2802151;1498152;1498152;;3;;"1327000";"73471dd336835b7a068717ac03e33857";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1990-02-01 00:00:00.000;;e_ls_ov_kabelsubgroep;6868563638806613670;0;Active;Enexis;6868563638806613670;OV;;4795641963091067032;;;1427609075780754458;28.580885308191558;MULTILINESTRING ((110551.629 404247.028, 110579.576 404253.014));8410456966804738324;;1999-07-16 00:00:00.000;Saupi;{0, 0, 0};1327000;In bedrijf;;1099454;3293349;1099454
2802152;1498169;1498169;;3;;"1327001";b280924f769d281ae47534c4bf5e7b86;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1990-02-01 00:00:00.000;;e_ls_ov_kabelsubgroep;6868563638807967155;0;Active;Enexis;6868563638807967155;OV;;4795641963091067032;;;1427609075780754459;30.032934143982274;MULTILINESTRING ((110544.395 404033.031, 110540.368 404039.102, 110527.793 404058.058));8410456966804738325;;1999-04-20 00:00:00.000;malik;{0, 0, 0};1327001;In bedrijf;;1099455;3293350;1099455
2802153;482412;482412;;3;;"1839047";db38855681517eedc99d67e75758d456;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2018-10-04 00:00:00.000;;e_ls_ov_kabelsubgroep;101604994;0;Active;Enexis;101604994;OV;;4795641963091068140;;;6499541792487181748;2.670540207523564;MULTILINESTRING ((264795.288 574859.207, 264796.685 574856.931));8410456966805452244;;2018-12-06 00:00:00.000;doosterb;{0, 0, 0};1839047;In bedrijf;;1793105;3805424;1793105
2802154;1498171;1498171;;3;;"1327003";"1baf1827839ab6d19b23a7de332063b7";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2004-01-08 00:00:00.000;;e_ls_ov_kabelsubgroep;1427609075783018163;0;Active;Enexis;1427609075783018163;OV;;4795641963091066975;;;1427609075780754504;1.3878284594090469;MULTILINESTRING ((132640.796 396849.185, 132641.211 396849.121, 132641.066 396848.164));8410456966804738349;;2014-02-19 00:00:00.000;ovl_avineon68;{0, 0, 0};1327003;In bedrijf;;1099480;3293352;1099480
1330932;1330932;;3204190;1;3;"1099475";f1f9fa84f5ea8fdb8634e1b35abffc3f;2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1970-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621134;0;Active;Enexis;101621134;OV;;4795641963091067104;;;56315782;20.283968011277228;MULTILINESTRING ((234888.46 565836.147, 234888.578 565837.205, 234888.919 565840.259, 234889.293 565843.495, 234889.80800000002 565848.053, 234890.055 565850.241), (234888.238 565834.156, 234888.46 565836.147), (234890.055 565850.241, 234894.151 565850.1680000001));8410456966804462764;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099475;In bedrijf;;792308;;
1330927;1330927;;3206058;1;3;"1099468";"548de91695bb152458c734dcc80bacb7";2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1975-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;9154496519663386315;0;Active;Enexis;9154496519663386315;LS;;4795641963091067101;;;56318435;0.7548656921343879;MULTILINESTRING ((234667.671 581392.541, 234667.749 581392.674, 234667.823 581392.805, 234667.9 581392.935, 234668.05800000002 581393.189));8410456966804465227;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099468;In bedrijf;;794723;;
1330928;1330928;;3206059;1;3;"1099469";"24bbe6a9f091291866adad436d1b4088";2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1981-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101656966;0;Active;Enexis;101656966;LS;;4795641963091067101;;;56318411;11.191981696779507;MULTILINESTRING ((233869.43300000002 580964.841, 233869.193 580964.611, 233868.696 580964.406, 233870.518 580959.981), (233870.518 580959.981, 233871.013 580960.185, 233873.807 580961.278), (233873.807 580961.278, 233874.733 580961.657), (233874.733 580961.657, 233874.352 580962.582));8410456966804465205;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099469;In bedrijf;;794700;;
